sourceName,sourceVersion,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,creationDate,startDate,endDate
Brian’s Apple Watch,4.3.2,CrossTraining,65.60927413304647,min,0,mi,529.8270000000008,kcal,2018-09-15 15:25:09 -0600,2018-09-15 14:19:23 -0600,2018-09-15 15:25:00 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,56.98149858315786,min,0,mi,401.1550000000017,kcal,2018-09-16 11:00:11 -0600,2018-09-16 10:03:03 -0600,2018-09-16 11:00:01 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,38.06803268392881,min,0,mi,195.3660000000005,kcal,2018-09-17 05:38:22 -0600,2018-09-17 05:00:13 -0600,2018-09-17 05:38:17 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,53.23518651723862,min,0,mi,331.1580000000019,kcal,2018-09-17 18:01:25 -0600,2018-09-17 17:08:05 -0600,2018-09-17 18:01:19 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,49.77411964933078,min,0,mi,397.952000000001,kcal,2018-09-18 05:30:07 -0600,2018-09-18 04:40:13 -0600,2018-09-18 05:29:59 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,37.55111881693204,min,0,mi,286.4960000000012,kcal,2018-09-18 17:38:34 -0600,2018-09-18 17:00:55 -0600,2018-09-18 17:38:28 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,57.480487682422,min,0,mi,670.6309999999972,kcal,2018-09-19 05:46:37 -0600,2018-09-19 04:48:59 -0600,2018-09-19 05:46:28 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,30.49310735066732,min,0,mi,173.2980000000002,kcal,2018-09-19 17:47:04 -0600,2018-09-19 17:16:29 -0600,2018-09-19 17:46:59 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,36.1960713326931,min,0,mi,178.0730000000001,kcal,2018-09-21 05:19:35 -0600,2018-09-21 04:43:06 -0600,2018-09-21 05:19:18 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,70.45932330091794,min,0,mi,418.7210000000006,kcal,2018-09-21 18:18:09 -0600,2018-09-21 17:07:29 -0600,2018-09-21 18:17:57 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,59.96025603413582,min,0,mi,347.1739999999976,kcal,2018-09-22 08:07:30 -0600,2018-09-22 07:07:27 -0600,2018-09-22 08:07:25 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,40.3125200510025,min,0,mi,311.7659999999991,kcal,2018-09-22 17:18:32 -0600,2018-09-22 16:38:05 -0600,2018-09-22 17:18:24 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,47.89802528421084,min,0,mi,276.3310000000014,kcal,2018-09-23 09:27:17 -0600,2018-09-23 08:39:18 -0600,2018-09-23 09:27:12 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,39.80681018431981,min,0,mi,228.1859999999995,kcal,2018-09-25 17:48:43 -0600,2018-09-25 17:08:49 -0600,2018-09-25 17:48:38 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,59.08320141832034,min,0,mi,356.3049999999997,kcal,2018-09-26 09:04:34 -0600,2018-09-26 08:05:17 -0600,2018-09-26 09:04:22 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,46.6448422173659,min,0,mi,263.2860000000011,kcal,2018-09-27 05:38:43 -0600,2018-09-27 04:51:59 -0600,2018-09-27 05:38:38 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,56.23043776551882,min,0,mi,304.3860000000028,kcal,2018-09-27 17:52:45 -0600,2018-09-27 16:56:28 -0600,2018-09-27 17:52:42 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,36.42152854998906,min,0,mi,161.6010000000009,kcal,2018-09-28 05:37:48 -0600,2018-09-28 05:01:19 -0600,2018-09-28 05:37:45 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,41.41405461629232,min,0,mi,196.3920000000002,kcal,2018-09-29 08:22:33 -0600,2018-09-29 07:41:04 -0600,2018-09-29 08:22:29 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,30.18442538380623,min,0,mi,130.295,kcal,2018-10-01 05:20:26 -0600,2018-10-01 04:50:10 -0600,2018-10-01 05:20:21 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,38.52079608440399,min,0,mi,220.5700000000015,kcal,2018-10-02 05:32:23 -0600,2018-10-02 04:53:48 -0600,2018-10-02 05:32:20 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,46.73547056516011,min,0,mi,200.1140000000016,kcal,2018-10-02 18:15:49 -0600,2018-10-02 17:28:59 -0600,2018-10-02 18:15:43 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,44.45496684908867,min,0,mi,218.3430000000031,kcal,2018-10-03 05:42:17 -0600,2018-10-03 04:57:45 -0600,2018-10-03 05:42:12 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,4.722064900398254,min,0,mi,20.23099999999999,kcal,2018-10-03 17:01:48 -0600,2018-10-03 16:56:59 -0600,2018-10-03 17:01:42 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,35.43968038360278,min,0,mi,447.4309999999999,kcal,2018-10-04 05:47:04 -0600,2018-10-04 05:11:32 -0600,2018-10-04 05:46:58 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,14.95385261774063,min,0,mi,74.84600000000002,kcal,2018-10-09 05:05:21 -0600,2018-10-09 04:50:19 -0600,2018-10-09 05:05:16 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,35.8772311826547,min,0,mi,221.6779999999996,kcal,2018-10-09 18:06:33 -0600,2018-10-09 17:30:35 -0600,2018-10-09 18:06:27 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,39.44405148426691,min,0,mi,300.6279999999999,kcal,2018-10-10 05:29:33 -0600,2018-10-10 04:50:02 -0600,2018-10-10 05:29:28 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,10.94124113321304,min,0,mi,48.0829999999999,kcal,2018-10-10 17:30:51 -0600,2018-10-10 17:19:51 -0600,2018-10-10 17:30:47 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,36.43304018378258,min,0,mi,191.660999999999,kcal,2018-10-11 17:23:22 -0600,2018-10-11 16:46:52 -0600,2018-10-11 17:23:18 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,31.58366261521975,min,0,mi,342.1319999999982,kcal,2018-10-12 05:19:16 -0600,2018-10-12 04:47:38 -0600,2018-10-12 05:19:13 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,31.05081066687902,min,0,mi,154.037999999999,kcal,2018-10-13 06:16:25 -0600,2018-10-13 05:45:18 -0600,2018-10-13 06:16:21 -0600
Brian’s Apple Watch,4.3.2,Other,33.94813911716143,min,0,mi,447.7620000000003,kcal,2018-10-14 16:53:20 -0600,2018-10-14 16:18:20 -0600,2018-10-14 16:53:14 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,30.16824411551158,min,0,mi,128.8220000000012,kcal,2018-10-17 05:38:37 -0600,2018-10-17 05:08:23 -0600,2018-10-17 05:38:33 -0600
Brian’s Apple Watch,4.3.2,Other,25.11502483288447,min,0,mi,110.4459999999999,kcal,2018-10-17 06:26:07 -0600,2018-10-17 06:00:56 -0600,2018-10-17 06:26:03 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,19.87069079875946,min,0,mi,125.2370000000004,kcal,2018-10-27 07:36:26 -0600,2018-10-27 07:16:30 -0600,2018-10-27 07:36:22 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,33.82486073374749,min,0,mi,179.7989999999992,kcal,2018-10-28 09:34:00 -0600,2018-10-28 09:00:08 -0600,2018-10-28 09:33:57 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,47.34854533274969,min,0,mi,259.8100000000003,kcal,2018-10-30 05:48:20 -0600,2018-10-30 05:00:53 -0600,2018-10-30 05:48:14 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,33.23772595127424,min,0,mi,197.6230000000013,kcal,2018-10-30 17:47:22 -0600,2018-10-30 17:13:46 -0600,2018-10-30 17:47:01 -0600
